Switch 6- Trigger|Action Button||Left|Still|11|16||Call Event	Switch 6~
Switch 7 - Fake|Action Button||Left|Still|16|5||Display Message	Notice: Due to the increased security some members have been forgetting their access codes.^~Display Message	If this happens to you, proceedure is to Warp out of the GeoRealm. ^~Display Message	It was a sad day for everyone when Bob forgot he could warp out and starved.^~Display Message	He will be remembered.^~Display Message	And GeoSociety think I'm the bottom of the barrel!^80-04-2.png~
Switch 7 - Fake - Trigger|Action Button||Left|Still|17|5||Call Event	Switch 7 - Fake~
Switch 8 - Fake|Action Button||Left|Still|31|13||Display Message	Notice: Can the people posting unneccessary notices please stop it!^~Display Message	It's making our Security System entierly too complicated!^~
Switch 8 - Fake - Trigger|Action Button||Left|Still|32|13||Call Event	Switch 8 - Fake~
Treasure 1|Action Button|objects1.png|Down|Still|32|27||Treasure Chest	COIN^1000^500~Move Event	Treasure 1^Hide~
Treasure 2|Action Button|objects1.png|Down|Still|37|27||Treasure Chest	COIN^2500^500~Move Event	Treasure 2^Hide~
Treasure 3|Action Button|objects1.png|Down|Still|36|27||Treasure Chest	COIN^2000^500~Move Event	Treasure 3^Hide~
Treasure 4|Action Button|objects1.png|Down|Still|41|27||Treasure Chest	COIN^2500^500~Move Event	Treasure 4^Hide~
Treasure 5|Action Button|objects1.png|Down|Still|22|7||Treasure Chest	COIN^2500^500~Move Event	Treasure 5^Hide~
Treasure 6|Action Button|objects1.png|Down|Still|22|6||Treasure Chest	ITEM^1000^500~Move Event	Treasure 6^Hide~
Treasure 7|Action Button|objects1.png|Down|Still|31|7||Treasure Chest	ITEM^2500^500~Move Event	Treasure 7^Hide~
Treasure 8|Action Button|objects1.png|Down|Still|31|8||Treasure Chest	ITEM^1000^50~Move Event	Treasure 8^Hide~
Treasure 9|Action Button|objects1.png|Down|Still|27|6||Treasure Chest	ITEM^3000^50~Move Event	Treasure 9^Hide~
Dark Tamer 2|Action Button|DarkTamer.png|Down|Still|11|4||Display Message	Poor Bob!^~Start AutoBattle	Lets see what your Monsters can do!^I'm not ready to battle again yet. Sorry.^false^MON,555,14.MON,226,20.MON,260,21.^^^^~Move Event	Dark Tamer 2^Hide~
Warp Upper 1|Walk Over||Left|Still|34|4||Fade Out	~Relocate User	seedMap.1001.1.tmx^21^33~Change Weather	Night~Fade In	~
Warp Upper 2|Walk Over||Left|Still|35|4||Call Event	Warp Upper 1~
Treasure 10|Action Button|objects1.png|Down|Still|9|17||Treasure Chest	COIN^3000^500~Move Event	Treasure 10^Hide~
Test|Walk Over||Left|Still|29|14||IF	Global Variable^M3.Switch.1^T~Display Message	1 is T^~ELSE	~Display Message	1 is F^~END IF	~IF	Global Variable^M3.Switch.2^T~Display Message	2 is T^~ELSE	~Display Message	2 is F^~END IF	~IF	Global Variable^M3.Switch.3^T~Display Message	3 is T^~ELSE	~Display Message	3 is F^~END IF	~IF	Global Variable^M3.Switch.4^T~Display Message	4 is T^~ELSE	~Display Message	4 is F^~END IF	~
